IsQuestion,Question,Text,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
TRUE,1,At which Water Boards office do you currently work? ,rb1,rb2,rb3,rb4,rb5,rb6,rb7,rb8,rb9,sb,dw,
TRUE,2,For which State Water Board division do you currently work? ,DAS,DDW,DFA,DIT,DWQ,DWR,DFA,DIT,DWQ,DWR,NA,Other
TRUE,2other,"Provide name of other division, if applicable:",Free Response,,,,,,,,,,,
TRUE,3,"In what program/functional area do you work (e.g. Nonpoint Source, GAMA)?",Free Response,,,,,,,,,,,
TRUE,4,Are you a supervisor?,Yes,No,,,,,,,,,,
FALSE,5,"Which Water Boards data sources do you use for your work, and how do you use them?",NA,,,,,,,,,,,
TRUE,5a,CEDEN,1,2,3,4,,,,,,,,
TRUE,5b,CIWQS,1,2,3,4,,,,,,,,
TRUE,5c,eWRIMS,1,2,3,4,,,,,,,,
TRUE,5d,GAMA,1,2,3,4,,,,,,,,
TRUE,5e,SMARTS,1,2,3,4,,,,,,,,
TRUE,5f,Water49,1,2,3,4,,,,,,,,
TRUE,5g,Other,1,2,3,4,,,,,,,,
TRUE,5other,"Please name other Water Boards database, if applicable: ",Free Response,,,,,,,,,,,
TRUE,6name,"What, if any, non-Water Board data sources do you use for your work,and how do you use them? Leave this blank if you do not use any non-WaterBoard data sources.",Free Response,,,,,,,,,,,
TRUE,6answer,How do you use other non-Water Board data sources,1,2,3,4,,,,,,,,
TRUE,7,"What, if anAre you interested in taking data science courses offered by the Water Boards Training Academy?y, non-Water Board data sources do you use for your work,and how do you use them? Leave this blank if you do not use any non-WaterBoard data Are you interested in taking data science courses offered by the Water Boards Training Academy?",1,2,3,4,,,,,,,,
FALSE,8,Please answer the following questions about data-related tasks:,,,,,,,,,,,,
TRUE,8a1,How often do you perform this task? Collect and combine data from different sources,1,2,3,4,5,,,,,,,
TRUE,8a2,How would you assess your skill level in performing this task? Collect and combine data from different sources,1,2,3,4,,,,,,,,
TRUE,8a3,How often do you perform this task? Collect and combine data from different sources,1,2,3,4,,,,,,,,
TRUE,8b1,"How often do you perform this task? Clean and validate data to ensure accuracy, consistency, and completeness",1,2,3,4,5,,,,,,,
TRUE,8b2,"How would you assess your skill level in performing this task? Clean and validate data to ensure accuracy, consistency, and completeness",1,2,3,4,,,,,,,,
TRUE,8b3,"Are you interested in further developing this skill set? Clean and validate data to ensure accuracy, consistency, and completeness",1,2,3,4,,,,,,,,
TRUE,8c1,How often do you perform this task? Create data visualizations (charts and graphs),1,2,3,4,5,,,,,,,
TRUE,8c2,How would you assess your skill level in performing this task? Create data visualizations (charts and graphs),1,2,3,4,,,,,,,,
TRUE,8c3,Are you interested in further developing this skill set? Create data visualizations (charts and graphs),1,2,3,4,,,,,,,,
TRUE,8d1,How often do you perform this task? Use statistics to identify trends and other relationships in data,1,2,3,4,5,,,,,,,
TRUE,8d2,How would you assess your skill level in performing this task? Use statistics to identify trends and other relationships in data,1,2,3,4,,,,,,,,
TRUE,8d3,Are you interested in further developing this skill set? Use statistics to identify trends and other relationships in data,1,2,3,4,,,,,,,,
TRUE,8e1,"How often do you perform this task? Write code to transform, analyze, or visualize data",1,2,3,4,5,,,,,,,
TRUE,8e2,"How would you assess your skill level in performing this task? Write code to transform, analyze, or visualize data",1,2,3,4,,,,,,,,
TRUE,8e3,"Are you interested in further developing this skill set? Write code to transform, analyze, or visualize data",1,2,3,4,,,,,,,,
TRUE,8f1,How often do you perform this task? Use machine learning to automate tasks and make predictions,1,2,3,4,5,,,,,,,
TRUE,8f2,How would you assess your skill level in performing this task? Use machine learning to automate tasks and make predictions,1,2,3,4,,,,,,,,
TRUE,8f3,Are you interested in further developing this skill set? Use machine learning to automate tasks and make predictions,1,2,3,4,,,,,,,,
TRUE,8g1,How often do you perform this task? Other,1,2,3,4,5,,,,,,,
TRUE,8g2,How would you assess your skill level in performing this task? Other,1,2,3,4,,,,,,,,
TRUE,8g3,Are you interested in further developing this skill set? Other,1,2,3,4,,,,,,,,
TRUE,8other,Name of other task,Free Response,,,,,,,,,,,
FALSE,9,Please answer the following questions about data science softwareand computer languages. ,1,2,3,4,,,,,,,,
TRUE,9a1,What is your skill level with this software or computer language? MS Excel,1,2,3,4,,,,,,,,
TRUE,9a2,Are you interested in further developing your skills with this software orcomputer language? MS Excel,1,2,3,4,,,,,,,,
TRUE,9b1,What is your skill level with this software or computer language? MS Access,1,2,3,4,,,,,,,,
TRUE,9b2,Are you interested in further developing your skills with this software orcomputer language? MS Access,1,2,3,4,,,,,,,,
TRUE,9c1,What is your skill level with this software or computer language? SQL,1,2,3,4,,,,,,,,
TRUE,9c2,Are you interested in further developing your skills with this software orcomputer language? SQL,1,2,3,4,,,,,,,,
TRUE,9d1,What is your skill level with this software or computer language? Tableau,1,2,3,4,,,,,,,,
TRUE,9d2,Are you interested in further developing your skills with this software orcomputer language? Tableau,1,2,3,4,,,,,,,,
TRUE,9e1,What is your skill level with this software or computer language? MS BI,1,2,3,4,,,,,,,,
TRUE,9e2,Are you interested in further developing your skills with this software orcomputer language? MS BI,1,2,3,4,,,,,,,,
TRUE,9f1,What is your skill level with this software or computer language? ArcGIS,1,2,3,4,,,,,,,,
TRUE,9f2,Are you interested in further developing your skills with this software orcomputer language? ArcGIS,1,2,3,4,,,,,,,,
TRUE,9g1,What is your skill level with this software or computer language? Python,1,2,3,4,,,,,,,,
TRUE,9g2,Are you interested in further developing your skills with this software orcomputer language? Python,1,2,3,4,,,,,,,,
TRUE,9h1,What is your skill level with this software or computer language? R,1,2,3,4,,,,,,,,
TRUE,9h2,Are you interested in further developing your skills with this software or computer language? R,1,2,3,4,,,,,,,,
TRUE,9i1,What is your skill level with this software or computer language? Other,1,2,3,4,,,,,,,,
